C_Name,website,country,industry,size,Revenue (Billion USD),Employees,Founded Year,P_name,email,phone,job_title,Department,company_name,Role Function,Employee ID,Status,person_name,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,suggested_industry,suggested_phone,is_duplicate,duplicate_group,role_function,role_confidence
Walmart,walmart.com,United States,Retail,Enterprise,681.0,2100000.0,1962.0,Judith Davis,judith.davis2386@yahoo.com,+44 892-858-9935,Chief Technology Officer,Research & Development,Salesforce,Executive Leadership,EMP01001,Active,,missing_person_name,True,judith.davis2386@yahoo.com,United States,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Retail,+448928589935,False,fuzzy_0,Management,0.95
Amazon,amazon.com,United States,E-commerce & Cloud,Enterprise,638.0,1556000.0,1994.0,Lauren Ramirez,lauren.ramirez3911@yahoo.com,+1-800 816-127-4257,Chief Financial Officer,Technology,Meta,Executive Leadership,EMP01002,On Leave,,missing_person_name,True,lauren.ramirez3911@yahoo.com,United States,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Retail,+18008161274257,False,fuzzy_1,Management,0.95
State Grid Corporation of China,sgcc.com.cn,China,Utilities,Enterprise,548.4,1354310.0,2002.0,Sharon Anderson,sharon.anderson206@work.com,+33 914-532-6574,Account Executive,Infrastructure,Toyota,Sales,EMP01003,Active,,missing_person_name,True,sharon.anderson206@work.com,China,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Technology,+339145326574,False,fuzzy_2,Management,0.95
Saudi Aramco,saudiaramco.com,Saudi Arabia,Oil & Gas,Enterprise,480.2,75118.0,1933.0,Karen Wilson,karen.wilson6324@gmail.com,+44 567-967-6635,Consultant,Customer Success,Tesla,Consulting,EMP01004,On Leave,,missing_person_name,True,karen.wilson6324@gmail.com,Saudi Arabia,0.0,0.0,Phone Formatting,Oil & Gas,+445679676635,False,fuzzy_3,Other,0.0
China National Petroleum,cnpc.com.cn,China,Oil & Gas,Enterprise,412.6,985155.0,1988.0,Kimberly Morgan,kimberly.morgan6301@gmail.com,+44 765-400-6925,Chief Financial Officer,Product,Samsung,Executive Leadership,EMP01005,On Leave,,missing_person_name,True,kimberly.morgan6301@gmail.com,China,0.0,0.0,Phone Formatting;Role Function Mapping,Oil & Gas,+447654006925,False,fuzzy_4,Management,0.95
Sinopec,sinopecgroup.com,China,Oil & Gas,Enterprise,407.5,495096.0,1998.0,Mark Stewart,mark.stewart4841@yahoo.com,+44 438-987-2654,Chief Marketing Officer,Finance,Pinterest,Executive Leadership,EMP01006,Inactive,,missing_person_name,True,mark.stewart4841@yahoo.com,China,0.0,0.0,Phone Formatting;Role Function Mapping,Oil & Gas,+444389872654,False,fuzzy_5,Marketing,0.95
UnitedHealth Group,unitedhealthgroup.com,United States,Healthcare,Enterprise,400.3,400000.0,1977.0,Donna Robinson,donna.robinson5920@outlook.com,+49 886-373-2169,Accountant,Support,Oracle,Sales,EMP01007,On Leave,,missing_person_name,True,donna.robinson5920@outlook.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Healthcare,+498863732169,False,fuzzy_6,Account,0.95
Apple,apple.com,United States,Technology,Enterprise,391.0,164000.0,1976.0,Judith Hernandez,judith.hernandez6316@company.com,+86 855-804-4598,Software Architect,Compliance,Oracle,Technical,EMP01008,Active,,missing_person_name,True,judith.hernandez6316@company.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Technology,+868558044598,True,fuzzy_6,Engineering,0.95
CVS Health,cvshealth.com,United States,Healthcare & Retail,Enterprise,372.8,259500.0,1963.0,Douglas Rogers,douglas.rogers5268@gmail.com,+91 474-167-4456,Chief Operating Officer,Compliance,Broadcom,Executive Leadership,EMP01009,On Leave,,missing_person_name,True,douglas.rogers5268@gmail.com,United States,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,Retail,+914741674456,False,fuzzy_8,Management,0.95
Berkshire Hathaway,berkshirehathaway.com,United States,Diversified Financials,Enterprise,371.4,392400.0,1956.0,Gloria Lee,gloria.lee7617@email.com,+33 471-242-5040,Senior Developer,Engineering,TotalEnergies,Technical,EMP01010,On Leave,,missing_person_name,True,gloria.lee7617@email.com,United States,0.0,0.0,Phone Formatting;Role Function Mapping,Diversified Financials,+334712425040,False,fuzzy_9,Engineering,0.95
