company_name,website,country,industry,size,Annual_Revenue_USD,Primary_Domain,Founded_Year,Headquarters_City,person_name,email,phone,job_title,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,suggested_industry,suggested_phone,is_duplicate,duplicate_group,role_function,role_confidence
Acme Corporation,www.acmecorp.com,United States,Software Development,500-1000,75000000,Cloud Computing,2010,New York,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,United States,0.0,0.0,Industry Standardization,Technology,,False,email_match_0,Other,0.0
TechFlow Solutions,www.techflow.com,Canada,IT Services,100-250,18000000,Software Consulting,2015,Toronto,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,Canada,0.0,0.0,Industry Standardization,Technology,,True,email_match_0,Other,0.0
CloudFirst Industries,www.cloudfirst.co.uk,United Kingdom,Cloud Services,250-500,45000000,Infrastructure,2012,London,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,United Kingdom,0.0,0.0,,Cloud Services,,True,email_match_0,Other,0.0
DataViz Analytics,www.dataviz.de,Germany,Data Analytics,50-100,8500000,Business Intelligence,2018,Berlin,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,Germany,0.0,0.0,,Data Analytics,,True,email_match_0,Other,0.0
SecureLink Security,www.securelink.fr,France,Cybersecurity,75-150,12000000,Network Security,2017,Paris,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,France,0.0,0.0,Industry Standardization,Technology,,True,email_match_0,Other,0.0
InnovatePro Tech,www.innovatepro.in,India,AI & Machine Learning,200-500,22000000,Artificial Intelligence,2019,Bangalore,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,India,0.0,0.0,,AI & Machine Learning,,True,email_match_0,Other,0.0
GreenWave Energy,www.greenwave.au,Australia,Renewable Energy,100-250,16000000,Solar Solutions,2014,Sydney,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,Australia,0.0,0.0,,Renewable Energy,,True,email_match_0,Other,0.0
QuantumDrive Systems,www.quantumdrive.se,Sweden,Quantum Computing,30-75,5500000,Advanced Computing,2020,Stockholm,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,Sweden,0.0,0.0,,Quantum Computing,,True,email_match_0,Other,0.0
BlockChain Dynamics,www.blockchaindyn.ch,Switzerland,Blockchain,80-150,14000000,Cryptocurrency,2016,Zurich,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,Switzerland,0.0,0.0,,Blockchain,,True,email_match_0,Other,0.0
VentureLabs Japan,www.venturelabs.jp,Japan,IoT & Hardware,300-750,88000000,Internet of Things,2013,Tokyo,,,,,missing_person_name;missing_email;missing_phone;missing_job_title,True,,Japan,0.0,0.0,,IoT & Hardware,,True,email_match_0,Other,0.0
People_Name,Title,Email,Phone,Role_Function,Company_Name,Department,Location,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,Email,0.0,0.0,,Phone,,True,email_match_0,Other,0.0
James Anderson,Chief Executive Officer,james.anderson@acmecorp.com,+1-212-555-0101,Executive Leadership,Acme Corporation,C-Suite,New York,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,james.anderson@acmecorp.com,0.0,0.0,,+1-212-555-0101,,True,email_match_0,Other,0.0
Lisa Johnson,VP of Engineering,lisa.johnson@acmecorp.com,+1-212-555-0102,Technical Leadership,Acme Corporation,Engineering,New York,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,lisa.johnson@acmecorp.com,0.0,0.0,,+1-212-555-0102,,True,email_match_0,Other,0.0
Robert Smith,Senior Software Engineer,robert.smith@acmecorp.com,+1-212-555-0103,Software Development,Acme Corporation,Engineering,New York,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,robert.smith@acmecorp.com,0.0,0.0,,+1-212-555-0103,,True,email_match_0,Other,0.0
Maria Garcia,Product Manager,maria.garcia@acmecorp.com,+1-212-555-0104,Product Management,Acme Corporation,Product,New York,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,maria.garcia@acmecorp.com,0.0,0.0,,+1-212-555-0104,,True,email_match_0,Other,0.0
David Kim,Cloud Architect,david.kim@acmecorp.com,+1-212-555-0105,Technical Architecture,Acme Corporation,Engineering,New York,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,david.kim@acmecorp.com,0.0,0.0,,+1-212-555-0105,,True,email_match_0,Other,0.0
Patricia Lee,Chief Financial Officer,patricia.lee@techflow.com,+1-416-555-0201,Executive Leadership,TechFlow Solutions,Finance,Toronto,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,patricia.lee@techflow.com,0.0,0.0,,+1-416-555-0201,,True,email_match_0,Other,0.0
Michael Chen,Solutions Architect,michael.chen@techflow.com,+1-416-555-0202,Technical Consulting,TechFlow Solutions,Consulting,Toronto,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,michael.chen@techflow.com,0.0,0.0,,+1-416-555-0202,,True,email_match_0,Other,0.0
Jennifer White,Project Manager,jennifer.white@techflow.com,+1-416-555-0203,Project Management,TechFlow Solutions,Operations,Toronto,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,jennifer.white@techflow.com,0.0,0.0,,+1-416-555-0203,,True,email_match_0,Other,0.0
Christopher Brown,DevOps Engineer,christopher.brown@techflow.com,+1-416-555-0204,Infrastructure,TechFlow Solutions,Engineering,Toronto,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,christopher.brown@techflow.com,0.0,0.0,,+1-416-555-0204,,True,email_match_0,Other,0.0
Amanda Davis,Sales Manager,amanda.davis@techflow.com,+1-416-555-0205,Sales,TechFlow Solutions,Sales,Toronto,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,amanda.davis@techflow.com,0.0,0.0,,+1-416-555-0205,,True,email_match_0,Other,0.0
Oliver Wilson,Managing Director,oliver.wilson@cloudfirst.co.uk,+44-20-7946-1101,Executive Leadership,CloudFirst Industries,Management,London,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,oliver.wilson@cloudfirst.co.uk,0.0,0.0,,+44-20-7946-1101,,True,email_match_0,Other,0.0
Sarah Thompson,Infrastructure Manager,sarah.thompson@cloudfirst.co.uk,+44-20-7946-1102,Infrastructure,CloudFirst Industries,Operations,London,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,sarah.thompson@cloudfirst.co.uk,0.0,0.0,,+44-20-7946-1102,,True,email_match_0,Other,0.0
Emma Martinez,Cloud Solutions Engineer,emma.martinez@cloudfirst.co.uk,+44-20-7946-1103,Engineering,CloudFirst Industries,Engineering,London,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,emma.martinez@cloudfirst.co.uk,0.0,0.0,,+44-20-7946-1103,,True,email_match_0,Other,0.0
James Taylor,Technical Support Lead,james.taylor@cloudfirst.co.uk,+44-20-7946-1104,Customer Support,CloudFirst Industries,Support,London,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,james.taylor@cloudfirst.co.uk,0.0,0.0,,+44-20-7946-1104,,True,email_match_0,Other,0.0
Sophie Robinson,Business Analyst,sophie.robinson@cloudfirst.co.uk,+44-20-7946-1105,Analysis,CloudFirst Industries,Business,London,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,sophie.robinson@cloudfirst.co.uk,0.0,0.0,,+44-20-7946-1105,,True,email_match_0,Other,0.0
Klaus Mueller,Chief Technology Officer,klaus.mueller@dataviz.de,+49-30-555-1201,Executive Leadership,DataViz Analytics,Technology,Berlin,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,klaus.mueller@dataviz.de,0.0,0.0,,+49-30-555-1201,,True,email_match_0,Other,0.0
Hannah Schmidt,Senior Data Analyst,hannah.schmidt@dataviz.de,+49-30-555-1202,Data Analysis,DataViz Analytics,Analytics,Berlin,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,hannah.schmidt@dataviz.de,0.0,0.0,,+49-30-555-1202,,True,email_match_0,Other,0.0
Stefan Weber,BI Developer,stefan.weber@dataviz.de,+49-30-555-1203,Development,DataViz Analytics,Engineering,Berlin,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,stefan.weber@dataviz.de,0.0,0.0,,+49-30-555-1203,,True,email_match_0,Other,0.0
Brigitte Fischer,Analytics Consultant,brigitte.fischer@dataviz.de,+49-30-555-1204,Consulting,DataViz Analytics,Consulting,Berlin,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,brigitte.fischer@dataviz.de,0.0,0.0,,+49-30-555-1204,,True,email_match_0,Other,0.0
Thomas Beck,Account Executive,thomas.beck@dataviz.de,+49-30-555-1205,Sales,DataViz Analytics,Sales,Berlin,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,thomas.beck@dataviz.de,0.0,0.0,,+49-30-555-1205,,True,email_match_0,Other,0.0
Francoise Dubois,Director of Security,francoise.dubois@securelink.fr,+33-1-4555-1301,Executive Leadership,SecureLink Security,Security,Paris,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,francoise.dubois@securelink.fr,0.0,0.0,,+33-1-4555-1301,,True,email_match_0,Other,0.0
Laurent Martin,Security Engineer,laurent.martin@securelink.fr,+33-1-4555-1302,Security Engineering,SecureLink Security,Engineering,Paris,,,,,,missing_person_name;missing_email;missing_phone;missing_job_title;invalid_website_format,True,,laurent.martin@securelink.fr,0.0,0.0,,+33-1-4555-1302,,True,email_match_0,Other,0.0
