person_name,email,phone,job_title,Department,company_name,Role Function,Employee ID,Status,website,country,industry,size,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,suggested_industry,suggested_phone,is_duplicate,duplicate_group,role_function,role_confidence
Judith Davis,judith.davis2386@yahoo.com,+44 892-858-9935,Chief Technology Officer,Research & Development,Salesforce,Executive Leadership,EMP01001,Active,,,,,missing_industry;missing_company_size;missing_country,True,judith.davis2386@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+448928589935,False,,Management,0.95
Lauren Ramirez,lauren.ramirez3911@yahoo.com,+1-800 816-127-4257,Chief Financial Officer,Technology,Meta,Executive Leadership,EMP01002,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,lauren.ramirez3911@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+18008161274257,False,,Management,0.95
Sharon Anderson,sharon.anderson206@work.com,+33 914-532-6574,Account Executive,Infrastructure,Toyota,Sales,EMP01003,Active,,,,,missing_industry;missing_company_size;missing_country,True,sharon.anderson206@work.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+339145326574,False,,Management,0.95
Karen Wilson,karen.wilson6324@gmail.com,+44 567-967-6635,Consultant,Customer Success,Tesla,Consulting,EMP01004,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,karen.wilson6324@gmail.com,,0.0,0.0,Phone Formatting,,+445679676635,False,,Other,0.0
Kimberly Morgan,kimberly.morgan6301@gmail.com,+44 765-400-6925,Chief Financial Officer,Product,Samsung,Executive Leadership,EMP01005,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,kimberly.morgan6301@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+447654006925,False,,Management,0.95
Mark Stewart,mark.stewart4841@yahoo.com,+44 438-987-2654,Chief Marketing Officer,Finance,Pinterest,Executive Leadership,EMP01006,Inactive,,,,,missing_industry;missing_company_size;missing_country,True,mark.stewart4841@yahoo.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+444389872654,False,,Marketing,0.95
Donna Robinson,donna.robinson5920@outlook.com,+49 886-373-2169,Accountant,Support,Oracle,Sales,EMP01007,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,donna.robinson5920@outlook.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+498863732169,False,,Account,0.95
Judith Hernandez,judith.hernandez6316@company.com,+86 855-804-4598,Software Architect,Compliance,Oracle,Technical,EMP01008,Active,,,,,missing_industry;missing_company_size;missing_country,True,judith.hernandez6316@company.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+868558044598,False,,Engineering,0.95
Douglas Rogers,douglas.rogers5268@gmail.com,+91 474-167-4456,Chief Operating Officer,Compliance,Broadcom,Executive Leadership,EMP01009,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,douglas.rogers5268@gmail.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+914741674456,False,,Management,0.95
Gloria Lee,gloria.lee7617@email.com,+33 471-242-5040,Senior Developer,Engineering,TotalEnergies,Technical,EMP01010,On Leave,,,,,missing_industry;missing_company_size;missing_country,True,gloria.lee7617@email.com,,0.0,0.0,Phone Formatting;Role Function Mapping,,+334712425040,False,,Engineering,0.95
