company_name,website,country,industry,size,Annual_Revenue_USD,Primary_Domain,Founded_Year,Headquarters_City,People_Name,job_title,email,phone,Role_Function,Company_Name.1,Department,person_name,linkedin_url,issues,has_issues,suggested_email,suggested_country,email_confidence,country_confidence,corrections_applied,change_history,suggested_industry,suggested_phone,is_duplicate,duplicate_group,role_function,role_confidence
Acme Corporation,www.acmecorp.com,United States,Software Development,500-1000,75000000.0,Cloud Computing,2010.0,New York,James Anderson,Chief Executive Officer,james.anderson@acmecorp.com,-867,Executive Leadership,Acme Corporation,C-Suite,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,james.anderson@acmecorp.com,United States,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,"[{""field"": ""industry"", ""old"": ""Software Development"", ""new"": ""Technology""}, {""field"": ""phone"", ""old"": ""-867"", ""new"": ""867""}]",Technology,867,False,fuzzy_0,Management,0.95
TechFlow Solutions,www.techflow.com,Canada,IT Services,100-250,18000000.0,Software Consulting,2015.0,Toronto,Lisa Johnson,VP of Engineering,lisa.johnson@acmecorp.com,-868,Technical Leadership,Acme Corporation,Engineering,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,lisa.johnson@acmecorp.com,Canada,0.0,0.0,Industry Standardization;Phone Formatting;Role Function Mapping,"[{""field"": ""industry"", ""old"": ""IT Services"", ""new"": ""Technology""}, {""field"": ""phone"", ""old"": ""-868"", ""new"": ""868""}]",Technology,868,False,fuzzy_1,Engineering,0.95
CloudFirst Industries,www.cloudfirst.co.uk,United Kingdom,Cloud Services,250-500,45000000.0,Infrastructure,2012.0,London,Robert Smith,Senior Software Engineer,robert.smith@acmecorp.com,-869,Software Development,Acme Corporation,Engineering,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,robert.smith@acmecorp.com,United Kingdom,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-869"", ""new"": ""869""}]",Cloud Services,869,False,fuzzy_2,Engineering,0.95
DataViz Analytics,www.dataviz.de,Germany,Data Analytics,50-100,8500000.0,Business Intelligence,2018.0,Berlin,Maria Garcia,Product Manager,maria.garcia@acmecorp.com,-870,Product Management,Acme Corporation,Product,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,maria.garcia@acmecorp.com,Germany,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-870"", ""new"": ""870""}]",Data Analytics,870,False,email_13,Management,0.95
SecureLink Security,www.securelink.fr,France,Cybersecurity,75-150,12000000.0,Network Security,2017.0,Paris,David Kim,Cloud Architect,david.kim@acmecorp.com,-871,Technical Architecture,Acme Corporation,Engineering,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,david.kim@acmecorp.com,France,0.0,0.0,Industry Standardization;Phone Formatting,"[{""field"": ""industry"", ""old"": ""Cybersecurity"", ""new"": ""Technology""}, {""field"": ""phone"", ""old"": ""-871"", ""new"": ""871""}]",Technology,871,False,email_3,Other,0.0
InnovatePro Tech,www.innovatepro.in,India,AI & Machine Learning,200-500,22000000.0,Artificial Intelligence,2019.0,Bangalore,Patricia Lee,Chief Financial Officer,patricia.lee@techflow.com,-1171,Executive Leadership,TechFlow Solutions,Finance,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,patricia.lee@techflow.com,India,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-1171"", ""new"": ""1171""}]",AI & Machine Learning,1171,False,email_16,Management,0.95
GreenWave Energy,www.greenwave.au,Australia,Renewable Energy,100-250,16000000.0,Solar Solutions,2014.0,Sydney,Michael Chen,Solutions Architect,michael.chen@techflow.com,-1172,Technical Consulting,TechFlow Solutions,Consulting,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,michael.chen@techflow.com,Australia,0.0,0.0,Phone Formatting,"[{""field"": ""phone"", ""old"": ""-1172"", ""new"": ""1172""}]",Renewable Energy,1172,False,email_14,Other,0.0
QuantumDrive Systems,www.quantumdrive.se,Sweden,Quantum Computing,30-75,5500000.0,Advanced Computing,2020.0,Stockholm,Jennifer White,Project Manager,jennifer.white@techflow.com,-1173,Project Management,TechFlow Solutions,Operations,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,jennifer.white@techflow.com,Sweden,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-1173"", ""new"": ""1173""}]",Quantum Computing,1173,False,email_9,Management,0.95
BlockChain Dynamics,www.blockchaindyn.ch,Switzerland,Blockchain,80-150,14000000.0,Cryptocurrency,2016.0,Zurich,Christopher Brown,DevOps Engineer,christopher.brown@techflow.com,-1174,Infrastructure,TechFlow Solutions,Engineering,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,christopher.brown@techflow.com,Switzerland,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-1174"", ""new"": ""1174""}]",Blockchain,1174,False,email_2,Engineering,0.95
VentureLabs Japan,www.venturelabs.jp,Japan,IoT & Hardware,300-750,88000000.0,Internet of Things,2013.0,Tokyo,Amanda Davis,Sales Manager,amanda.davis@techflow.com,-1175,Sales,TechFlow Solutions,Sales,,,missing_person_name;invalid_phone_format;missing_linkedin_url,True,amanda.davis@techflow.com,Japan,0.0,0.0,Phone Formatting;Role Function Mapping,"[{""field"": ""phone"", ""old"": ""-1175"", ""new"": ""1175""}]",IoT & Hardware,1175,False,email_0,Sales,0.95
